Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),SignalType,Signal Open Price
TRENDPULSE,"MA, Long, 2025-08-21 (Price: 591.92)",2026-01-14 (Price: 546.82),"-7.62%, 4.9 months","96.15%, Past 4 years, 26","Daily, is CONFIRMED on 2025-08-21",Already confirmed,"2026-01-29 (Price: 543.7300), 8.14% below",4.9 months,No Information,No Information,No Information,No Information,No Information,8.32% below/8.32% below/8.32% below,7.81%/1.11%/2.94%,"5.85%, 28.57%",3.5 months/4 days/1.3 month,2026-01-20/2025-08-26/2025-10-16,5.71%,7.58%,-1.87%,0.98,0.39,598.6087/609.3224/608.31/No Horizontal Resistance/716.5814/751.3605/No EMA 200 Target,550.18/279.035/554.0572/515.4888/No F-Track Level/No F-Track Level/547.22,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets),exit,587.3811
DELTADRIFT,"MSFT, Long, 2025-11-26 (Price: 485.5)",2026-01-14 (Price: 459.38),"-5.38%, 1.6 month","72.73%, Past 4 years, 11","Daily, was CONFIRMED on 2025-11-26",Already confirmed,"2026-01-29 (Price: 433.5000), 10.71% below",1.7 month,No Information,No Information,No Information,No Information,No Information,No Information,5.23%/2.02%/3.68%,"8.2%, 14.53%",2.4 months/1 day/14 days,2026-03-10/2025-11-27/2025-12-16,5.1%,6.53%,-1.43%,0.07,0.34,510.2605/503.3664/506.81/No Horizontal Resistance/553.3726/615.9924/No EMA 200 Target,472.12/216.39/386.873/350.287/No F-Track Level/No F-Track Level/481.87,86.49%/111/12 days (Across ALL Assets),78.66%/478/16 days (Across ALL Assets),exit,486.31
SIGMASHELL,"NVO, Long, 2025-02-03 (Price: 82.65)",2026-01-14 (Price: 58.91),"-28.72%, 11.5 months","81.82%, Past 5 years, 11","Daily, was CONFIRMED on 2025-02-03",Already confirmed,"2026-01-29 (Price: 59.3300), 28.22% below",11.5 months,"-9.77, 62.5",No Information,No Information,No Information,No Information,No Information,22.44%/14.95%/18.7%,"28.06%, 44.04%",6.4 months/2.4 months/4.4 months,2025-11-08/2025-05-18/2025-08-13,-0.56%,9.2%,-9.76%,-0.04,0.47,84.3939/98.1056/157.4212/139.01/157.4212/215.5132/No EMA 200 Target,78.69/31.6225/70.5125/51.1046/No F-Track Level/No F-Track Level/59.04,85.45%/55/4.2 months (Across ALL Assets),74.3%/214/3.9 months (Across ALL Assets),exit,79.9269
DELTADRIFT,"SFTBY, Long, 2025-11-19 (Price: 15.245)",2026-01-14 (Price: 13.23),"-13.22%, 1.9 month","72.73%, Past 4 years, 11","Daily, was CONFIRMED on 2025-11-19",Already confirmed,"2026-01-29 (Price: 14.2500), 6.53% below",1.9 month,No Information,No Information,No Information,No Information,No Information,No Information,12.83%/2.56%/6.09%,"19.12%, 20.76%",11 days/1 day/5 days,2025-12-04/2025-11-20/2025-11-26,2.49%,14.8%,-12.31%,-0.02,0.67,16.4158/16.1734/16.29/No Horizontal Resistance/23.8631/28.8451/No EMA 200 Target,14.97/4.205/14.0995/12.0968/No F-Track Level/No F-Track Level/11.91,86.49%/111/12 days (Across ALL Assets),78.66%/478/16 days (Across ALL Assets),exit,15.165
TRENDPULSE,"WPM.TO, Long, 2025-12-22 (Price: 168.04)",2026-01-14 (Price: 184.93),"10.05%, 23 days","78.95%, Past 4 years, 19","Daily, is CONFIRMED on 2025-12-22",Already confirmed,"2026-01-29 (Price: 205.4300), 22.25% above",24 days,No Information,No Information,No Information,No Information,No Information,18.38% above/12.04% above/12.04% above,9.09%/1.23%/5.04%,"19.7%, 28.41%",4.4 months/6 days/1 month,2026-07-01/2025-12-30/2026-02-03,12.04%,18.03%,-5.99%,0.06,0.87,180.8951/176.5092/187.59/No Horizontal Resistance/178.0989/194.7923/No EMA 200 Target,145.49/52.782/146.152/125.9496/No F-Track Level/No F-Track Level/130.56,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets),exit,166.51
TRENDPULSE,"XIU.TO, Long, 2026-01-06 (Price: 47.91)",2026-01-14 (Price: 48.53),"1.29%, 8 days","100.0%, Past 4 years, 19","Daily, is CONFIRMED on 2026-01-06",Already confirmed,"2026-01-30 (Price: 46.9000), 2.11% below",9 days,No Information,No Information,No Information,No Information,No Information,3.05% above/1.63% above/1.63% above,2.7%/0.5%/1.73%,"0%, 8.66%",2.2 months/6 days/26 days,2026-04-11/2026-01-14/2026-02-12,10.25%,7.22%,3.03%,2.78,0.44,49.1413/48.7388/49.06/No Horizontal Resistance/53.8646/79.5406/No EMA 200 Target,44.51/27.9467/37.996/28.1885/No F-Track Level/No F-Track Level/42.09,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets),exit,47.75
TRENDPULSE,"XLY, Long, 2026-01-06 (Price: 121.07)",2026-01-14 (Price: 122.25),"0.97%, 8 days","94.12%, Past 4 years, 17","Daily, is CONFIRMED on 2026-01-06",Already confirmed,"2026-01-29 (Price: 121.1900), 0.10% above",9 days,No Information,No Information,No Information,No Information,No Information,2.0% above/1.35% above/1.35% above,7.63%/0.64%/2.98%,"3.09%, 13.62%",2.8 months/6 days/13 days,2026-05-07/2026-01-14/2026-01-24,17.38%,7.88%,9.5%,1.07,0.42,125.9854/124.6779/122.34/121.1117/125.4815/133.9156/No EMA 200 Target,118.35/66.775/86.1124/56.5683/No F-Track Level/No F-Track Level/111.58,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets),exit,119.53
DELTADRIFT,"CSCO, Long, 2026-01-12 (Price: 74.01)",2026-01-13 (Price: 75.47),"1.97%, 1 day","90.91%, Past 4 years, 11","Daily, was CONFIRMED on 2026-01-12",Already confirmed,"2026-01-29 (Price: 78.4300), 5.97% above",3 days,No Information,No Information,No Information,No Information,No Information,No Information,6.65%/2.15%/3.52%,"7.65%, 9.42%",2.2 months/2 days/15 days,2026-04-17/2026-01-14/2026-02-02,12.63%,4.71%,7.92%,0.62,0.23,75.579/76.6152/76.1/No Horizontal Resistance/78.7458/109.6316/No EMA 200 Target,73.88/40.92/68.2017/52.6706/No F-Track Level/No F-Track Level/68.35,86.49%/111/12 days (Across ALL Assets),78.66%/478/16 days (Across ALL Assets),exit,72.91
TRENDPULSE,"FPH.NZ, Long, 2025-11-10 (Price: 38.12)",2026-01-13 (Price: 38.9),"2.05%, 2.1 months","84.09%, Past 4 years, 44","Daily, is CONFIRMED on 2025-11-10",Already confirmed,"2026-01-30 (Price: 39.0900), 2.54% above",2.2 months,No Information,No Information,No Information,No Information,No Information,1.87% above/2.89% above/2.89% above,11.0%/0.47%/3.88%,"35.07%, 43.46%",3.5 months/7 days/1.2 month,2026-04-11/2025-11-20/2026-01-01,-16.19%,6.47%,-22.66%,-0.13,0.33,40.2395/39.5991/38.56/39.1438/40.9296/48.5677/No EMA 200 Target,35.0/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/36.0,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets),exit,37.81
TRENDPULSE,"FPH.NZ, Long, 2025-11-06 (Price: 38.14)",2026-01-13 (Price: 38.9),"1.99%, 2.3 months","84.09%, Past 4 years, 44","Daily, is CONFIRMED on 2025-11-06",Already confirmed,"2026-01-30 (Price: 39.0900), 2.49% above",2.3 months,No Information,No Information,No Information,No Information,No Information,2.83% above/2.83% above/2.83% above,11.0%/0.47%/3.88%,"35.07%, 43.46%",3.5 months/7 days/1.2 month,2026-04-07/2025-11-16/2025-12-28,-16.19%,6.47%,-22.66%,-0.13,0.33,40.2606/39.6198/38.33/39.1438/40.9296/48.5677/No EMA 200 Target,35.0/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/36.01,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets),exit,37.4618
TRENDPULSE,"FPH.NZ, Long, 2025-09-08 (Price: 38.18)",2026-01-13 (Price: 38.9),"1.89%, 4.2 months","84.09%, Past 4 years, 44","Daily, is CONFIRMED on 2025-09-08",Already confirmed,"2026-01-30 (Price: 39.0900), 2.38% above",4.3 months,No Information,No Information,No Information,No Information,No Information,3.51% above/2.72% above/2.72% above,11.0%/0.47%/3.88%,"35.07%, 43.46%",3.5 months/7 days/1.2 month,2026-02-07/2025-09-18/2025-10-30,-16.19%,6.47%,-22.66%,-0.13,0.33,40.3028/39.6614/39.11/39.1917/40.9296/48.5677/No EMA 200 Target,36.6/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/36.21,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets),exit,37.1434
TRENDPULSE,"FPH.NZ, Long, 2025-09-05 (Price: 37.89)",2026-01-13 (Price: 38.9),"2.67%, 4.3 months","84.09%, Past 4 years, 44","Daily, is CONFIRMED on 2025-09-05",Already confirmed,"2026-01-30 (Price: 39.0900), 3.17% above",4.4 months,No Information,No Information,No Information,No Information,No Information,3.51% above/3.51% above/3.51% above,11.0%/0.47%/3.88%,"35.07%, 43.46%",3.5 months/7 days/1.2 month,2026-02-04/2025-09-15/2025-10-27,-16.19%,6.47%,-22.66%,-0.13,0.33,39.9967/39.3601/38.98/39.1917/40.9296/48.5677/No EMA 200 Target,36.6/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/36.2,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets),exit,36.9344
FRACTAL TRACK,"AIA.NZ, Long, 2025-11-18 (Price: 7.77)",2026-01-12 (Price: 8.6) (Today),"10.68%, 1.8 month","100.0%, Past 5 years, 6","Daily, was CONFIRMED on 2025-11-18",Already confirmed,"2026-01-30 (Price: 8.1500), 4.89% above",1.8 month,No Information,No Information,No Information,"38.2% (Price: 7.9428), 8.27% above, Upmove Bounce Back","2025-07-16 (Price: 7.365), 2025-11-04 (Price: 8.3)",No Information,12.06%/1.24%/7.08%,"-0.0%, 14.0%",1.3 year/2.6 months/8.4 months,2027-09-26/2026-03-10/2026-11-18,14.01%,-0.21%,14.22%,1.2,-0.11,7.9899/8.3201/8.33/8.8962/11.1706/12.8535/7.87,7.6/7.0017/7.3934/6.6643/No F-Track Level/No F-Track Level/No EMA 200 Support,94.15%/325/5.2 months (Across ALL Assets),62.26%/53/5.5 months (Across ALL Assets),exit,7.89
TRENDPULSE,"BAC, Long, 2025-12-07 (Price: 53.95)",2026-01-12 (Price: 55.19) (Today),"2.3%, 1.2 month","76.47%, Past 10 years, 17","Weekly, is CONFIRMED on 2025-12-05",Already confirmed,"2026-01-29 (Price: 53.0800), 1.61% below",1.2 month,No Information,No Information,No Information,No Information,No Information,2.3% above/2.3% above/2.3% above,16.63%/0.1%/7.69%,"5.06%, 34.47%",8.4 months/1.2 month/3.2 months,2026-12-07/2026-01-28/2026-04-25,6.48%,6.95%,-0.47%,0.61,0.35,56.5558/58.0988/59.43/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,48.65/29.49/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/46.62,91.25%/160/4.9 months (Across ALL Assets),82.63%/334/3.7 months (Across ALL Assets),exit,53.2234
FRACTAL TRACK,"KWEB, Short, 2025-12-31 (Price: 34.05)",2026-01-12 (Price: 37.66) (Today),"-10.6%, 12 days","85.71%, Past 12 years, 7","Monthly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-01-29 (Price: 36.2900), 6.58% above",12 days,No Information,No Information,No Information,"38.2% (Price: 35.4633), 6.19% above, Upmove Break Below","2024-01-31 (Price: 22.68), 2025-10-31 (Price: 43.365)",No Information,10.4%/3.11%/7.13%,"19.33%, 16.82%",3.1 months/1 month/1.6 month,2026-05-14/2026-02-12/2026-03-10,5.83%,5.4%,0.43%,0.25,0.12,31.1762/31.6222/21.64/24.5062/No F-Stack Support/No F-Stack Support/No EMA 200 Target,No support/24.5062/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No support,83.33%/6/1.2 month (Across ALL Assets),50.0%/14/1.7 month (Across ALL Assets),exit,35.5634
DELTADRIFT,"NFLX, Long, 2025-12-12 (Price: 95.19)",2026-01-12 (Price: 89.41) (Today),"-6.07%, 1 month","81.82%, Past 4 years, 11","Daily, was CONFIRMED on 2025-12-12",Already confirmed,"2026-01-29 (Price: 83.1600), 12.64% below",1 month,No Information,No Information,No Information,No Information,No Information,No Information,12.46%/2.39%/6.46%,"20.18%, 20.74%",18 days/1 day/6 days,2026-01-07/2025-12-13/2025-12-20,8.49%,10.45%,-1.96%,0.17,0.53,100.4826/101.3393/100.91/No Horizontal Resistance/139.352/152.4292/113.19,92.71/34.8663/86.4764/77.567/No F-Track Level/No F-Track Level/No EMA 200 Support,86.49%/111/12 days (Across ALL Assets),78.66%/478/16 days (Across ALL Assets),exit,95.5
FRACTAL TRACK,"PPH, Long, 2025-06-30 (Price: 87.96)",2026-01-07 (Price: 106.1) (Today),"20.62%, 6.4 months","90.0%, Past 25 years, 10","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2026-01-29 (Price: 105.6500), 20.11% above",6.4 months,No Information,No Information,No Information,"38.2% (Price: 78.775), 34.69% above, Upmove Bounce Back","2015-08-31 (Price: 45.23), 2024-09-30 (Price: 99.51)",No Information,23.88%/20.36%/21.19%,"1.09%, 37.34%",6.1 years/10.1 months/3.2 years,2034-03-15/2026-09-11/2030-01-23,4.29%,2.59%,1.7%,1.41,0.03,101.4091/106.5987/120.53/No Horizontal Resistance/100.0174/110.4008/90.85,86.28/65.915/87.7591/70.617/No F-Track Level/No F-Track Level/No EMA 200 Support,88.57%/35/2.2 years (Across ALL Assets),60.29%/68/9.3 months (Across ALL Assets),exit,86.5859
TRENDPULSE,"XLV, Long, 2025-11-24 (Price: 155.26)",2026-01-12 (Price: 157.38) (Today),"1.37%, 1.6 month","88.46%, Past 4 years, 26","Daily, is CONFIRMED on 2025-11-24",Already confirmed,"2026-01-29 (Price: 153.8200), 0.93% below",1.6 month,No Information,No Information,No Information,No Information,No Information,3.94% above/1.37% above/1.37% above,3.22%/0.29%/1.57%,"7.54%, 13.97%",4.2 months/6 days/1.2 month,2026-05-25/2025-12-02/2026-01-15,5.15%,5.42%,-0.27%,0.31,0.28,159.6228/157.6976/168.44/No Horizontal Resistance/174.1807/202.706/No EMA 200 Target,143.98/120.178/153.114/117.2225/No F-Track Level/No F-Track Level/139.41,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets),exit,154.4822
FRACTAL TRACK,"MX.TO, Long, 2025-08-31 (Price: 48.78)",2026-01-05 (Price: 59.11) (Today),"21.18%, 4.2 months","94.44%, Past 20 years, 18","Weekly, was CONFIRMED on 2025-08-31",Already confirmed,"2026-01-29 (Price: 66.0100), 35.32% above",4.2 months,No Information,No Information,No Information,"50% (Price: 45.71), 29.32% above, Upmove Bounce Back","2020-03-29 (Price: 13.24), 2025-02-09 (Price: 78.18)",No Information,22.38%/3.19%/16.45%,"5.57%, 73.13%",3.2 years/28 days/10 months,2030-03-26/2025-10-10/2026-11-08,13.05%,2.99%,10.06%,1.75,0.22,49.341/56.8043/87.74/73.435/104.8718/122.9238/No EMA 200 Target,45.56/38.425/48.7635/45.8359/No F-Track Level/No F-Track Level/No support,No Data (Across ALL Assets),No Data (Across ALL Assets),exit,49.036
TRENDPULSE,"PPH, Long, 2024-08-25 (Price: 98.11)",2025-12-22 (Price: 102.97) (Today),"4.95%, 1.3 year","76.19%, Past 10 years, 21","Weekly, is CONFIRMED on 2024-08-23",Already confirmed,"2026-01-29 (Price: 105.6500), 7.69% above",1.3 year,No Information,No Information,No Information,No Information,No Information,7.0% above/4.95% above/4.95% above,8.34%/2.28%/4.32%,"20.68%, 31.01%",5.1 months/1.2 month/2.8 months,2025-04-03/2024-10-16/2024-12-24,5.44%,5.52%,-0.08%,-0.1,0.3,103.7121/102.3484/108.69/No Horizontal Resistance/96.0365/100.0174/No EMA 200 Target,85.14/65.948/87.7591/70.617/No F-Track Level/No F-Track Level/87.62,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),exit,93.6305
TRENDPULSE,"SJ.TO, Long, 2025-11-09 (Price: 83.75)",2026-01-05 (Price: 86.74) (Today),"3.57%, 1.9 month","83.33%, Past 10 years, 24","Weekly, is CONFIRMED on 2025-11-07",Already confirmed,"2026-01-29 (Price: 91.3000), 9.01% above",1.9 month,No Information,No Information,No Information,No Information,No Information,3.57% above/5.96% above/3.57% above,23.9%/1.55%/7.87%,"6.63%, 46.57%",1 year/1.2 month/2.6 months,2027-04-14/2025-12-31/2026-03-01,13.27%,11.85%,1.42%,0.6,0.66,93.0463/90.3411/85.08/84.3925/95.0177/123.2166/No EMA 200 Target,76.55/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/74.69,No Data (Across ALL Assets),No Data (Across ALL Assets),exit,78.8483
TRENDPULSE,"WPM, Long, 2025-09-21 (Price: 107.65)",2026-01-05 (Price: 120.99) (Today),"12.39%, 3.5 months","84.62%, Past 10 years, 26","Weekly, is CONFIRMED on 2025-09-19",Already confirmed,"2026-01-29 (Price: 152.7000), 41.85% above",3.5 months,No Information,No Information,No Information,No Information,No Information,12.39% above/12.39% above/12.39% above,30.46%/2.87%/10.34%,"13.4%, 61.17%",2.8 months/28 days/1.6 month,2026-01-20/2025-10-31/2025-11-29,5.32%,5.11%,0.21%,0.63,0.29,116.3589/118.781/134.97/No Horizontal Resistance/131.4439/145.6176/No EMA 200 Target,57.06/38.292/98.515/93.6878/No F-Track Level/No F-Track Level/79.86,No Data (Across ALL Assets),No Data (Across ALL Assets),exit,106.25
TRENDPULSE,"WPM.TO, Long, 2025-09-21 (Price: 148.53)",2026-01-05 (Price: 166.36) (Today),"12.0%, 3.5 months","86.67%, Past 10 years, 30","Weekly, is CONFIRMED on 2025-09-19",Already confirmed,"2026-01-29 (Price: 205.4300), 38.31% above",3.5 months,No Information,No Information,No Information,No Information,No Information,12.0% above/12.0% above/12.0% above,27.09%/5.0%/11.19%,"14.05%, 49.41%",4.4 months/1.2 month/2.6 months,2026-03-31/2025-11-12/2026-01-11,3.49%,6.66%,-3.17%,0.68,0.35,158.0062/165.1505/187.3/No Horizontal Resistance/146.152/178.0989/No EMA 200 Target,82.12/48.855/125.9496/92.3678/No F-Track Level/No F-Track Level/111.59,No Data (Across ALL Assets),No Data (Across ALL Assets),exit,146.5273
TRENDPULSE,"^DJI, Long, 2025-11-02 (Price: 47562.8711)",2025-11-11 (Price: 47927.9609) (Today),"0.77%, 6 days","93.75%, Past 10 years, 32","Weekly, is CONFIRMED on 2025-10-31",Already confirmed,"2026-01-29 (Price: 49071.5586), 3.17% above",6 days,No Information,No Information,No Information,No Information,No Information,3.76% above/0.77% above/0.77% above,6.98%/0.22%/3.8%,,249 days/19 days/101 days,2026-10-28/2025-11-29/2026-03-28,6.99%,9.91%,-2.92%,1.11,0.44,48742.4303/49370.2602/55178.5/No Horizontal Resistance/54129.8938/83218.843,38314.86/32154.0552/36151.8794/25040.9446/No F-Track Level/No F-Track Level,95.35%/129/94 days (Across ALL Assets),78.95%/266/76 days (Across ALL Assets),exit,47412.8008
FRACTAL TRACK,"MAR, Long, 2025-06-30 (Price: 273.21)",2026-01-09 (Price: 328.18) (Today),"20.12%, 6.4 months","100.0%, Past 32 years, 7","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2026-01-29 (Price: 319.7700), 17.04% above",6.4 months,No Information,No Information,No Information,"38.2% (Price: 207.8333), 57.91% above, Upmove Bounce Back","2020-03-31 (Price: 46.56), 2025-02-28 (Price: 307.52)",No Information,31.27%/20.88%/23.76%,"-0.0%, 58.79%",2.8 years/6 months/1.3 year,2029-06-27/2026-03-17/2027-05-08,9.12%,7.6%,1.52%,2.24,0.38,329.8191/338.1247/429.79/No Horizontal Resistance/372.972/399.3723/No EMA 200 Target,136.01/129.12/235.5515/198.7812/No F-Track Level/No F-Track Level/269.52,88.57%/35/2.2 years (Across ALL Assets),60.29%/68/9.3 months (Across ALL Assets),exit,260.8372
TRENDPULSE,"SBUX, Long, 2025-12-29 (Price: 85.57)",2026-01-09 (Price: 88.88) (Today),"3.87%, 11 days","91.67%, Past 4 years, 12","Daily, is CONFIRMED on 2025-12-29",Already confirmed,"2026-01-29 (Price: 93.8800), 9.71% above",11 days,No Information,No Information,No Information,No Information,No Information,5.1% above/3.87% above/3.87% above,8.06%/2.15%/4.6%,"1.89%, 25.49%",3.2 months/6 days/1.2 month,2026-05-17/2026-01-06/2026-02-19,10.39%,-0.2%,10.59%,0.88,0.03,88.1457/89.5062/86.19/117.438/142.4098/150.3462/87.53,83.86/71.675/76.529/65.8616/No F-Track Level/No F-Track Level/No EMA 200 Support,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets),exit,85.12
TRENDPULSE,"SBUX, Long, 2025-12-11 (Price: 84.74)",2026-01-09 (Price: 88.88) (Today),"4.89%, 29 days","91.67%, Past 4 years, 12","Daily, is CONFIRMED on 2025-12-11",Already confirmed,"2026-01-29 (Price: 93.8800), 10.79% above",29 days,No Information,No Information,No Information,No Information,No Information,6.0% above/4.89% above/4.89% above,8.06%/2.15%/4.6%,"1.89%, 25.49%",3.2 months/6 days/1.2 month,2026-04-29/2025-12-19/2026-02-01,10.39%,-0.2%,10.59%,0.88,0.03,87.2907/88.638/90.37/117.438/142.4098/150.3462/88.7,82.28/71.675/76.529/65.8616/No F-Track Level/No F-Track Level/No EMA 200 Support,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets),exit,84.22
TRENDPULSE,"SBUX, Long, 2025-10-17 (Price: 85.36)",2026-01-09 (Price: 88.88) (Today),"4.12%, 2.8 months","91.67%, Past 4 years, 12","Daily, is CONFIRMED on 2025-10-17",Already confirmed,"2026-01-29 (Price: 93.8800), 9.98% above",2.8 months,No Information,No Information,No Information,No Information,No Information,5.38% above/4.12% above/4.12% above,8.06%/2.15%/4.6%,"1.89%, 25.49%",3.2 months/6 days/1.2 month,2026-03-05/2025-10-25/2025-12-08,10.39%,-0.2%,10.59%,0.88,0.03,87.9293/89.2866/89.19/117.438/142.4098/150.3462/92.34,78.46/71.675/76.529/65.8616/No F-Track Level/No F-Track Level/No EMA 200 Support,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets),exit,83.6457
TRENDPULSE,"XLE, Long, 2025-09-26 (Price: 45.995)",2026-01-09 (Price: 46.67) (Today),"1.47%, 3.5 months","95.83%, Past 4 years, 24","Daily, is CONFIRMED on 2025-09-26",Already confirmed,"2026-01-29 (Price: 50.5100), 9.82% above",3.5 months,No Information,No Information,No Information,No Information,No Information,2.4% above/1.47% above/1.47% above,6.81%/0.4%/3.61%,"6.99%, 40.87%",1.5 month/6 days/17 days,2025-11-30/2025-10-04/2025-10-20,10.35%,4.61%,5.74%,0.88,0.26,48.4373/47.6554/47.16/49.2225/53.4428/58.8712/No EMA 200 Target,43.84/22.8475/44.5115/37.0707/No F-Track Level/No F-Track Level/43.45,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets),exit,45.2642
FRACTAL TRACK,"AMD, Short, 2025-12-30 (Price: 215.34)",2026-01-08 (Price: 204.68) (Today),"4.95%, 9 days","85.0%, Past 5 years, 40","Daily, was CONFIRMED on 2025-12-30",Already confirmed,"2026-01-29 (Price: 252.1800), 17.11% above",9 days,No Information,No Information,No Information,"38.2% (Price: 222.0896), 7.84% below, Upmove Break Below","2025-10-29 (Price: 257.4), 2025-11-25 (Price: 206.58)",No Information,8.59%/0.06%/4.31%,"24.21%, 11.06%",1.8 month/1 day/8 days,2026-03-18/2025-12-31/2026-01-10,20.24%,5.1%,15.14%,0.39,0.6,214.4786/206.0588/184.85/72.6533/187.3421/170.075/165.32,No support/72.6533/187.3421/170.075/No F-Track Level/No F-Track Level/No EMA 200 Support,42.86%/7/15 days (Across ALL Assets),28.57%/7/5 days (Across ALL Assets),exit,215.87
